,MSR_Sample_Average,MSR_Sample_EWA,MSR_CCM_Average,MSR_CCM_EWA,MSR_Shrinkage_Average,MSR_Shrinkage_EWA,GMV_Sample,GMV_CCM,GMV_Shrinkage,EW,CW,ERC_Sample,ERC_CCM,ERC_Shrinkage
SAP.DE,1.0,1.0,1.0,1.0,1.0,1.0,0.109,0.094,0.107,0.083,0.288,0.093,0.087,0.091
DTE.DE,0.0,0.0,0.0,0.0,0.0,0.0,0.251,0.109,0.195,0.083,0.166,0.12,0.089,0.103
SIE.DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119,0.064,0.083,0.158,0.078,0.09,0.084
ALV.DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.009,0.083,0.124,0.072,0.086,0.079
MBG.DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.083,0.062,0.068,0.079,0.073
BMW.DE,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.083,0.093,0.083,0.047,0.082,0.086,0.084
BAS.DE,0.0,0.0,0.0,0.0,0.0,0.0,0.159,0.173,0.158,0.083,0.042,0.082,0.095,0.088
DBK.DE,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.083,0.034,0.069,0.073,0.071
RWE.DE,0.0,0.0,0.0,0.0,0.0,0.0,0.236,0.106,0.185,0.083,0.026,0.118,0.089,0.102
BAYN.DE,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.226,0.19,0.083,0.021,0.094,0.099,0.097
CBK.DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.019,0.057,0.06,0.059
CON.DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.014,0.065,0.068,0.067
