,MSR_Sample_Average,MSR_Sample_EWA,MSR_CCM_Average,MSR_CCM_EWA,MSR_Shrinkage_Average,MSR_Shrinkage_EWA,GMV_Sample,GMV_CCM,GMV_Shrinkage,EW,CW,ERC_Sample,ERC_CCM,ERC_Shrinkage
GS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.01,0.024,0.029,0.027
MSFT,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.021,0.051,0.036,0.19,0.035,0.037,0.036
HD,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.009,0.02,0.036,0.02,0.031,0.035,0.033
SHW,0.196,0.18,0.221,0.215,0.217,0.204,0.01,0.008,0.011,0.036,0.005,0.032,0.035,0.033
CAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.009,0.024,0.03,0.027
MCD,0.0,0.0,0.018,0.048,0.0,0.02,0.022,0.074,0.052,0.036,0.012,0.041,0.042,0.042
UNH,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.008,0.028,0.036,0.015,0.04,0.035,0.038
AXP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.011,0.024,0.027,0.026
AMGN,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.004,0.03,0.036,0.009,0.046,0.034,0.04
TRV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.036,0.003,0.031,0.035,0.033
JPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.041,0.026,0.032,0.028
IBM,0.153,0.128,0.136,0.122,0.153,0.131,0.02,0.041,0.043,0.036,0.013,0.033,0.039,0.036
HON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.036,0.008,0.029,0.037,0.033
BA,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.035,0.036,0.009,0.042,0.031,0.036
AMZN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.121,0.023,0.023,0.023
AAPL,0.028,0.082,0.0,0.0,0.0,0.04,0.029,0.0,0.0,0.036,0.167,0.031,0.026,0.028
PG,0.622,0.61,0.626,0.593,0.63,0.6,0.138,0.151,0.139,0.036,0.022,0.054,0.049,0.052
JNJ,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.144,0.113,0.036,0.021,0.053,0.048,0.051
MMM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.036,0.036,0.004,0.034,0.043,0.038
CVX,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.057,0.07,0.036,0.013,0.041,0.041,0.041
NVDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.183,0.019,0.016,0.017
DIS,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.048,0.065,0.036,0.011,0.035,0.04,0.037
WMT,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.094,0.088,0.036,0.044,0.044,0.044,0.044
MRK,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.033,0.022,0.036,0.011,0.045,0.038,0.041
KO,0.0,0.0,0.0,0.0,0.0,0.0,0.138,0.134,0.136,0.036,0.017,0.06,0.048,0.054
CSCO,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.036,0.014,0.03,0.032,0.031
NKE,0.0,0.0,0.0,0.022,0.0,0.005,0.0,0.0,0.0,0.036,0.005,0.031,0.034,0.032
VZ,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0.062,0.06,0.036,0.01,0.044,0.041,0.043
