,MSR_Sample_Average,MSR_Sample_EWA,MSR_CCM_Average,MSR_CCM_EWA,MSR_Shrinkage_Average,MSR_Shrinkage_EWA,GMV_Sample,GMV_CCM,GMV_Shrinkage,EW,CW,ERC_Sample,ERC_CCM,ERC_Shrinkage
AZN.L,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.072,0.09,0.029,0.233,0.048,0.038,0.044
HSBA.L,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.059,0.063,0.029,0.187,0.029,0.036,0.033
RR.L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.067,0.017,0.021,0.019
BA.L,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.022,0.021,0.029,0.055,0.032,0.031,0.031
RKT.L,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.039,0.05,0.029,0.047,0.039,0.034,0.037
AHT.L,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.039,0.001,0.0,0.001
STAN.L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.008,0.029,0.033,0.028,0.029,0.028
SSE.L,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.037,0.051,0.029,0.028,0.039,0.033,0.037
PRU.L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.024,0.019,0.024,0.021
ABF.L,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.027,0.028,0.029,0.023,0.029,0.032,0.03
LGEN.L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.029,0.018,0.018,0.028,0.022
AV.L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.029,0.018,0.022,0.03,0.025
NXT.L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.017,0.019,0.024,0.022
SMT.L,0.0,0.0,0.0,0.0,0.0,0.0,0.162,0.146,0.149,0.029,0.017,0.051,0.046,0.049
BNZL.L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.041,0.029,0.017,0.035,0.037,0.036
HLMA.L,0.106,0.142,0.0,0.0,0.04,0.081,0.012,0.044,0.026,0.029,0.014,0.037,0.034,0.036
SN.L,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.012,0.027,0.026,0.026
PSON.L,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.147,0.163,0.029,0.012,0.053,0.046,0.05
SVT.L,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.002,0.007,0.029,0.012,0.031,0.027,0.03
SMDS.L,0.032,0.053,0.0,0.014,0.012,0.036,0.002,0.0,0.0,0.029,0.011,0.015,0.01,0.012
MKS.L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.029,0.011,0.024,0.028,0.026
UU.L,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.003,0.032,0.029,0.011,0.043,0.027,0.034
BTRW.L,0.053,0.061,0.06,0.072,0.055,0.065,0.0,0.0,0.0,0.029,0.009,0.009,0.003,0.005
SBRY.L,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.024,0.023,0.029,0.009,0.029,0.031,0.031
SMIN.L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.016,0.029,0.009,0.028,0.033,0.03
DPLM.L,0.167,0.171,0.107,0.136,0.145,0.164,0.04,0.0,0.019,0.029,0.008,0.039,0.027,0.032
FCIT.L,0.642,0.509,0.833,0.778,0.747,0.653,0.043,0.077,0.064,0.029,0.008,0.037,0.038,0.039
SPX.L,0.0,0.0,0.0,0.0,0.0,0.0,0.105,0.095,0.098,0.029,0.007,0.043,0.041,0.042
SDR.L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.007,0.021,0.023,0.022
IMI.L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.007,0.021,0.025,0.023
HWDN.L,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.029,0.006,0.025,0.024,0.024
LAND.L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.013,0.029,0.006,0.023,0.031,0.027
KGF.L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.006,0.019,0.023,0.021
BKG.L,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.047,0.037,0.029,0.006,0.028,0.035,0.032
BLND.L,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.001,0.029,0.005,0.022,0.027,0.024
