,MSR_Sample_Average,MSR_Sample_EWA,MSR_CCM_Average,MSR_CCM_EWA,MSR_Shrinkage_Average,MSR_Shrinkage_EWA,GMV_Sample,GMV_CCM,GMV_Shrinkage,EW,CW,ERC_Sample,ERC_CCM,ERC_Shrinkage
AAPL,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.003,0.04,0.367,0.03,0.032,0.031
MSFT,0.0,0.0,0.0,0.018,0.0,0.002,0.078,0.044,0.068,0.04,0.326,0.039,0.045,0.042
COST,0.045,0.017,0.077,0.055,0.064,0.038,0.062,0.05,0.066,0.04,0.042,0.042,0.046,0.044
AMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.028,0.02,0.021,0.02
PEP,0.496,0.45,0.521,0.441,0.522,0.463,0.155,0.128,0.144,0.04,0.025,0.076,0.056,0.066
ADBE,0.0,0.046,0.0,0.036,0.0,0.042,0.0,0.0,0.0,0.04,0.023,0.025,0.029,0.027
TXN,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.02,0.04,0.02,0.028,0.035,0.031
AMGN,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.015,0.025,0.04,0.018,0.047,0.041,0.044
AMAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.018,0.023,0.027,0.025
CMCSA,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.014,0.01,0.04,0.017,0.037,0.04,0.039
HON,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.072,0.049,0.04,0.015,0.039,0.049,0.044
MU,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.04,0.012,0.021,0.024,0.022
ADI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.012,0.025,0.032,0.028
ADP,0.258,0.216,0.324,0.29,0.302,0.267,0.096,0.137,0.123,0.04,0.012,0.05,0.057,0.054
INTC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.04,0.01,0.028,0.036,0.032
CTAS,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.009,0.0,0.04,0.009,0.033,0.039,0.036
CSX,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.061,0.039,0.04,0.007,0.037,0.048,0.042
ADSK,0.099,0.125,0.051,0.097,0.075,0.112,0.001,0.0,0.0,0.04,0.006,0.025,0.029,0.027
AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.178,0.206,0.182,0.04,0.005,0.078,0.063,0.072
PCAR,0.005,0.018,0.026,0.048,0.019,0.036,0.0,0.0,0.0,0.04,0.006,0.029,0.037,0.032
ROST,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.04,0.005,0.036,0.031,0.034
EXC,0.079,0.091,0.0,0.0,0.017,0.017,0.149,0.132,0.132,0.04,0.004,0.081,0.056,0.068
XEL,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.109,0.078,0.04,0.004,0.063,0.054,0.06
CCEP,0.017,0.037,0.0,0.0,0.0,0.022,0.07,0.023,0.051,0.04,0.004,0.05,0.042,0.046
BKR,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.002,0.04,0.004,0.036,0.033,0.034
