,MSR_Sample_Average,MSR_Sample_EWA,MSR_CCM_Average,MSR_CCM_EWA,MSR_Shrinkage_Average,MSR_Shrinkage_EWA,GMV_Sample,GMV_CCM,GMV_Shrinkage,EW,CW,ERC_Sample,ERC_CCM,ERC_Shrinkage
4151.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.003,0.007,0.006,0.007
4502.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.043,0.006,0.015,0.008,0.008,0.008
4503.T,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.014,0.018,0.006,0.006,0.01,0.007,0.008
4506.T,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.006,0.001,0.009,0.006,0.007
4507.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.004,0.006,0.005,0.006
4519.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.03,0.007,0.006,0.007
4523.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.003,0.006,0.006,0.006
4568.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.015,0.005,0.006,0.006
6479.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.002,0.006,0.006,0.006
6501.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.036,0.005,0.007,0.006
6503.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.013,0.005,0.006,0.006
6504.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.002,0.004,0.005,0.005
6674.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.005,0.005,0.005
6701.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.01,0.005,0.006,0.005
6702.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.012,0.005,0.006,0.006
6752.T,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.005,0.014,0.006,0.008,0.007,0.007,0.007
6753.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.007,0.005,0.006
6758.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.047,0.006,0.007,0.006
6762.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.006,0.005,0.006,0.006
6770.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.004,0.005,0.005
6841.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.002,0.005,0.006,0.005
