,MSR_Sample_Average,MSR_Sample_EWA,MSR_CCM_Average,MSR_CCM_EWA,MSR_Shrinkage_Average,MSR_Shrinkage_EWA,GMV_Sample,GMV_CCM,GMV_Shrinkage,EW,CW,ERC_Sample,ERC_CCM,ERC_Shrinkage
MSFT,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.016,0.005,0.144,0.006,0.005,0.005
AAPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.121,0.004,0.003,0.004
WMT,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.016,0.043,0.005,0.031,0.007,0.006,0.007
JPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.032,0.003,0.004,0.004
LLY,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.005,0.027,0.006,0.005,0.005
ORCL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.024,0.004,0.003,0.004
COST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.017,0.005,0.005,0.005
XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.045,0.092,0.005,0.018,0.008,0.007,0.007
PG,0.171,0.149,0.204,0.177,0.187,0.159,0.006,0.043,0.02,0.005,0.015,0.007,0.007,0.007
JNJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.005,0.005,0.014,0.007,0.007,0.007
HD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.014,0.004,0.005,0.005
BAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.014,0.003,0.004,0.003
KO,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.045,0.036,0.005,0.012,0.007,0.007,0.007
GE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.011,0.004,0.005,0.005
WFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.01,0.004,0.005,0.004
IBM,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.017,0.005,0.011,0.005,0.005,0.005
CVX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.018,0.005,0.01,0.006,0.006,0.006
ABT,0.035,0.034,0.045,0.041,0.04,0.036,0.0,0.013,0.01,0.005,0.009,0.007,0.006,0.007
MCD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.011,0.005,0.008,0.006,0.006,0.006
